"hk,19,6"
"gerre,34,2"
"grere,40,1"
"grgergre,42,2"
"htrhtr,46,2"
"cadw,46,2"
"ytjt,46,2"
"jtydjt,44,3"
"bjbj,62,16"
"jjj,90,5"
"kmnm,98,0"
"btrbrt,95,17"
